,sample_name,uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,ctab_volume,F127_volume
0,SobolBaselineRestricted_1,c7f45f3c-e982-423e-90a1-5e81d5a60c91,540.655750035541,189.37377342954278,1543.5133037421228,1979.3351787196007,3539.794548104207,2207.3274459689856
1,SobolBaselineRestricted_2,865f9f2f-d6ca-4833-95e5-84a4d4316fa2,1300.2400798404124,341.28587311133737,2485.29506916025,1983.2956807028968,805.7217697302501,3084.161527454853
2,SobolBaselineRestricted_3,487c2190-095f-4096-9958-4798a78e6830,937.5159990638494,380.76058626174927,969.5730515693613,1477.410710580647,2116.4262654880686,4118.313387036324
3,SobolBaselineRestricted_4,2aad6e5b-7c8e-48e9-8232-4a770258c09d,891.9981717229821,525.692985765636,1672.1018414044129,2008.66386007471,2228.539216021697,2673.003925010562
4,SobolBaselineRestricted_5,98720b7a-a938-4f1c-9e16-fced285ca45b,1049.267105240375,210.5476883240044,3416.245601599415,2300.574250049889,2830.0457267711563,193.31962801516056
5,SobolBaselineRestricted_6,a68a6e84-a542-48f5-bbc0-0df61554516e,1188.707036541542,499.77826271206135,1440.8986458725603,3002.683509231778,3021.4236086855335,846.5089369565248
6,SobolBaselineRestricted_7,56628dd6-809f-42ba-9b48-9cbfee0478a5,693.1546570819336,262.62443736195564,1472.5035500045242,2018.912866241997,4963.530740390222,589.2737489193678
7,SobolBaselineRestricted_8,c2af1029-19ff-4b9b-8f52-5fe00c9056b6,495.3508252347819,482.9034138470888,2348.6339562417315,2721.331678556744,1907.1801776687305,2044.599948450923
8,SobolBaselineRestricted_9,24cf3fb2-bf2a-4977-8787-65939294e266,131.58840536163189,194.22215772792697,2062.6366744454326,3758.2921962949913,967.7209692696731,2885.539596900344
9,SobolBaselineRestricted_10,9e8c8ea6-afc5-459c-bc7f-33751ce38449,739.6697222781366,427.0686506293714,1856.7212829769896,1706.73249814054,4027.093018094699,1242.7148278802633
10,SobolBaselineRestricted_11,b41ed23b-c9e4-4af8-b879-cfa7661171df,1596.9888821623754,508.8151529431343,5409.441360121903,1363.5813396929298,1093.5193604479234,27.653904631733894
11,SobolBaselineRestricted_12,b2246d4b-abd4-4436-a84f-0db371e62e53,1445.1274410160256,173.04525887593624,3963.007401668776,1711.3079456714913,1651.382592196266,1056.1293605715036
12,SobolBaselineRestricted_13,e3e9c74c-e007-4210-9ea4-49957f1a49cf,373.33206901978696,559.0313825756311,4514.60507746165,2262.9448507661,890.4507799694936,1399.6358402073383
13,SobolBaselineRestricted_14,6dc6b551-1ea3-4d58-8f4c-9e8a4879e41f,204.07483157026581,160.9140763990581,5101.810810638902,2148.2570600064937,1832.1066281447809,552.8365932404995
14,SobolBaselineRestricted_15,671655d9-e413-4e2d-9de4-1572bd2ba461,1682.1550060550217,596.8107789754868,480.11034759537597,2894.804516930832,1776.2601139644783,2569.8592364788055
15,SobolBaselineRestricted_16,ec72acf7-d460-4837-a408-0e5a2ea28d83,1075.5217179455794,305.2427437156439,1462.6953882382559,1599.0384143139236,4719.818445543448,837.6832902431488
16,SobolBaselineRestricted_17,06f20147-b1a8-4aa8-b267-d6435efce415,1111.1276016191114,406.91229877993464,2061.7118573080124,1898.9438522101846,4155.454634378354,365.8497557044029
17,SobolBaselineRestricted_18,dc4e6c9d-cf13-4535-821d-f28ccca34d19,1310.4316745116375,120.35486465319991,3508.314437869315,2310.639174033422,1214.7355775038402,1535.524271428585
18,SobolBaselineRestricted_19,3a22905a-5d68-4735-a91a-ba603d503bc7,625.035049173748,105.49048045650125,2209.043571966079,3519.907588522183,2353.4175536284847,1187.105756253004
19,SobolBaselineRestricted_20,4b73e329-eeef-4f5e-9abd-de54c626dd5d,1009.6997094643302,413.858799636364,331.534709393356,2985.208432765212,683.7738460550706,4575.924502685666
20,SobolBaselineRestricted_21,8e0fb333-e5a5-49b1-b9bb-bb0a1b11b05e,1609.9923299162183,209.33261923491955,65.31859316707869,1070.0612427804153,3737.1947659800453,3308.100448921323
21,SobolBaselineRestricted_22,70a87b28-1a5c-430c-88ff-1ca8e0b30a77,756.5140328127891,582.3736427351832,1683.5935090606408,2600.9390756171197,3661.0099716732902,715.569768100977
22,SobolBaselineRestricted_23,b55e04d7-aa17-41b9-b7bc-0e5cb2a4743f,877.6756271179764,228.66030586883426,1813.9310406645145,1364.9067063611003,1377.5583940247695,4337.267925962806
23,SobolBaselineRestricted_24,48a0f33f-8769-44de-8a17-222f38fea241,926.4626760114916,146.05457605794072,1788.9780258977162,1834.1072706519626,2944.152782360713,2360.244669020176
24,SobolBaselineRestricted_25,e3b0d545-d092-4173-9dca-0646a401a542,1260.4093133930583,544.5991301909089,2337.8495206388952,1400.973482295638,2754.972791920106,1701.1957615613937
25,SobolBaselineRestricted_26,175b41c5-784b-404a-bd14-c58c589de457,504.0423768160399,455.29932565987104,1588.1468483603858,2389.809657017933,1566.190409163634,3496.511382982135
26,SobolBaselineRestricted_27,b9d0a6a9-7c4f-4135-b238-b6158c139415,1482.437498795567,372.9208027012646,2167.3148917205017,1832.4729665110353,1345.8586285511653,2798.9952117204666
27,SobolBaselineRestricted_28,19601e3d-666a-4068-b6d8-ac20cd219798,1278.3913231417537,156.55046412721276,411.0748346646624,2408.103162948042,4399.280084917943,1346.600130200386
28,SobolBaselineRestricted_29,8c67c5e0-a610-4af4-98bf-0f746cc7fee5,320.33791434788145,533.5323232226074,119.50464350016136,2023.6524744860362,2998.925356815259,4004.0472876280546
29,SobolBaselineRestricted_30,86f2f83c-dc18-4240-9773-4e61befa0b89,256.86915925657377,181.55806921422484,1194.1362694495674,2387.8695473824628,2816.2891293565435,3163.2778253406286
30,SobolBaselineRestricted_31,16bbeab9-05b3-4f4a-825e-2168f8a80b02,908.2827588447835,554.6062601730227,521.2020593679817,2924.1591690529604,4591.709929207961,500.03982335329056
31,SobolBaselineRestricted_32,482354ae-a469-4c7d-9ff2-abfbe23d74a0,1510.1248032627627,349.10208303481335,3463.890027677019,1007.538066019304,1529.4086846212547,2139.9363353848457
