,sample_name,uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,ctab_volume,F127_volume
0,SobolBatch_control_1,5dcea3d4-4afc-4389-afbd-03b4640e2860,739.6697222781366,427.0686506293714,1856.7212829769896,1706.73249814054,4027.093018094699,1242.7148278802633
1,SobolBatch_control_2,5219bd08-7689-483d-92e8-4162d16d8379,739.6697222781366,427.0686506293714,1856.7212829769896,1706.73249814054,4027.093018094699,1242.7148278802633
2,SobolBatch_control_3,27a11227-cf1f-4da7-8875-26bbc1e11a05,739.6697222781366,427.0686506293714,1856.7212829769896,1706.73249814054,4027.093018094699,1242.7148278802633
3,SobolBatch_1,4c0400c8-3631-42ca-92f6-6cd1d0f0b0d3,188.70872754463926,536.2198530696334,5902.720493099963,1899.5251563298516,1395.976301903526,76.84946805238724
4,SobolBatch_2,fe05e774-5c92-4248-8d59-74afda65ee1a,342.04684254527086,412.46867002919316,3856.504701407005,2496.831856921315,1821.3576084623735,1070.790320634842
5,SobolBatch_3,aab54b4e-1d8c-4262-a158-e9cdf14edbff,1279.2570016330574,197.9895246215165,2256.955528434675,1727.8865016500936,4074.655568848054,463.255874812603
6,SobolBatch_4,51558b9d-5018-4c0c-bca8-16b264207ef9,1379.6960900325794,476.0243206284941,1401.8346442359807,2942.5517496725083,1471.0999025652807,2328.793292865157
7,SobolBatch_5,ae8570a4-85c6-4903-bfa6-852670463b4d,1533.0219257993158,374.232376832515,2899.190459398863,2423.655952881323,948.7185409913461,1821.1807440966368
8,SobolBatch_6,480d0a24-41e8-4285-b3b3-a7ea95ca0144,1025.2905468649697,663.5387926362456,194.78854046979268,1534.89637670503,5147.818158070247,1433.6675852537155
9,SobolBatch_7,eb9910af-e02a-4fa9-9c48-ca43fcb17d67,797.9514878264163,386.14273592829704,2583.533393264128,3290.473863187013,2696.8466124186916,245.0519073754549
10,SobolBatch_8,df8f9bd5-efa9-4625-befc-6d481feac9e0,550.3119278184603,464.8209189996124,1536.3941827773424,3093.254739968339,3497.176442916195,858.041787520051
11,SobolBatch_9,2bcbf623-7869-4464-b88b-3001cd4a0dc6,447.8711263386067,229.13396880030635,28.297768326785445,1877.875639352249,5447.771838555734,1969.049658626318
12,SobolBatch_10,38481d87-b4ac-4cfa-9e91-0e7683a4a427,1171.2214899561368,446.345653384924,1338.0866777369129,1356.0292929192074,3193.747178340952,2494.569707661867
13,SobolBatch_11,b0cffe36-97cf-43ba-86d9-6ad1ddbf1ee5,693.1489208741112,130.07585369050503,1556.1149002549546,2518.020161406137,720.081093410651,4382.559070363641
14,SobolBatch_12,c146daa2-59c2-489d-83e1-14b606c758fc,848.0472664064728,732.1731010451913,1508.2857777023064,1740.1690348987468,1700.583844135205,3470.7409758120775
15,SobolBatch_13,7eaf8b21-1fd0-419e-b44b-67469728c063,923.594209182076,503.0618434771896,2643.8623930824288,2026.9667457574983,2296.32578479747,1606.1890237033367
16,SobolBatch_14,796059d0-259c-44ea-9820-627c7a5a462d,944.3565836066845,232.15566966682673,2547.7551217082264,1803.3229047961067,1200.3666094193857,3272.0431108027697
