uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,ctab_volume,f127_voume
1,131,733,1504,2746,2190,2700
2,131,733,1504,2746,2190,2700
3,131,733,1504,2746,2190,2700
4,131,733,1504,2746,2190,2700
5,131,733,1504,2746,2190,2700
