uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,ctab_volume,f127_voume
1,65.5,366.5,752,1373,1095,1350
2,65.5,366.5,752,1373,1095,1350
3,65.5,366.5,752,1373,1095,1350
4,65.5,366.5,752,1373,1095,1350
5,65.5,366.5,752,1373,1095,1350
