# #q, USAXS_int, USAXS_sub
8.981152531412020404e-05,2.821497405485544974e+01,6.719163142001459477e+00
9.165659686250824767e-05,2.303310355303340984e+01,5.604628493937067191e+00
9.353957322329955624e-05,1.774477765145130093e+01,4.467197049925262675e+00
9.546123310602654653e-05,1.444945778727812424e+01,3.616319011222168811e+00
9.742237121788835472e-05,1.163994549772966103e+01,2.829583719332525504e+00
9.942379859240348247e-05,9.722761632698514234e+00,2.225134583505499641e+00
1.014663429248140137e-04,8.227670605257896952e+00,1.704662960926633275e+00
1.035508489143824708e-04,7.134436572451741121e+00,1.398400495853224790e+00
1.056781786137180816e-04,6.265357448220358449e+00,1.214065190418452289e+00
1.078492117852811969e-04,5.528135881446717192e+00,1.030026343172572467e+00
1.100648462652115616e-04,4.847323750643804274e+00,8.441583020722669417e-01
1.123259983346300045e-04,4.340859773536430488e+00,7.006963272559434408e-01
1.146336030985692524e-04,3.875016973473766058e+00,5.668107938912378962e-01
1.169886148726886113e-04,3.523076097940025075e+00,4.651450852689249515e-01
1.193920075779341143e-04,3.186447201408201479e+00,3.740230408758868919e-01
1.218447751433052363e-04,2.915312335125465282e+00,3.269537029763394109e-01
1.243479319168970792e-04,2.669718783786822147e+00,2.840808215747685495e-01
1.269025130853864054e-04,2.451634725925443625e+00,2.457301733962822254e-01
1.295095751021360349e-04,2.265378623072773046e+00,2.114432911389778624e-01
1.321701961240931520e-04,2.086655385479113001e+00,1.773497229132330322e-01
1.348854764576639385e-04,1.918305028289170711e+00,1.423557502610279801e-01
1.376565390137485907e-04,1.774570585254681365e+00,1.244860590333629613e-01
1.404845297721229991e-04,1.644333850865387303e+00,1.138983071255570412e-01
1.433706182553619768e-04,1.525854785145295267e+00,9.737381666088817944e-02
1.463159980124986497e-04,1.419919644327114261e+00,8.481103354943875239e-02
1.493218871126186906e-04,1.322078181837539557e+00,7.619880692543135048e-02
1.523895286485964229e-04,1.232268262657841618e+00,7.401513404278481367e-02
1.555201912511786327e-04,1.149763393882222928e+00,6.659384182090088977e-02
1.587151696136306230e-04,1.071579319754397908e+00,6.012646861737991344e-02
1.619757850271588316e-04,9.977885476613834737e-01,nan
1.653033859273347124e-04,9.294466996692429817e-01,nan
1.686993484517432815e-04,8.662011365407509267e-01,nan
1.721650770090889411e-04,8.088536920835516231e-01,nan
1.757020048599910913e-04,7.583016428942493947e-01,nan
1.793115947097130938e-04,7.135936757663875474e-01,9.730087708879064934e-03
1.829953393130682624e-04,6.692494321466320173e-01,1.053461433933899905e-02
1.867547620917512177e-04,nan,nan
1.905914177643534032e-04,nan,nan
1.945068929893204531e-04,nan,nan
1.985028070211194236e-04,5.351802941783823098e-01,1.958286027777622618e-02
2.025808123798843933e-04,5.072024548446633085e-01,2.203882349244112859e-02
2.067425955348209951e-04,4.779695444411889427e-01,2.170700041602074970e-02
2.109898776016496042e-04,4.500033197422702025e-01,2.117234648342614101e-02
2.153244150543776405e-04,4.246069710122685192e-01,2.125976250543820667e-02
2.197480004516927713e-04,4.006715800082060186e-01,2.059268076219072929e-02
2.242624631782803185e-04,3.784761796119975319e-01,1.836322382574956391e-02
2.288696702013706989e-04,3.567031096944300317e-01,1.596016022880653029e-02
2.335715268428269773e-04,3.376462949173420491e-01,1.662310940585870478e-02
2.383699775670959512e-04,3.199882094931610355e-01,1.721452380650678737e-02
2.432670067853471868e-04,3.005107332455558833e-01,1.522948764502918273e-02
2.482646396761294420e-04,2.843348511254141231e-01,1.375290093711672990e-02
2.533649430228896576e-04,2.672270139852245263e-01,1.224326992646779244e-02
2.585700260686953382e-04,2.530399378418208278e-01,1.214289808020443950e-02
2.638820413885187570e-04,2.384778008631867063e-01,1.174545334161289367e-02
2.693031857794378199e-04,2.262907313899852058e-01,1.201056229464086966e-02
