# #q, USAXS_int, USAXS_sub
9.006552140271047570e-05,2.720029895366218398e+01,6.414863762927474511e+00
9.191516062030635184e-05,2.228206240243265057e+01,5.412031249339005257e+00
9.380278513107523299e-05,1.726282201460872301e+01,4.388603969663348536e+00
9.572917502363324565e-05,1.398027309047411215e+01,3.440096642292582274e+00
9.769512640696110313e-05,1.109923472312154935e+01,2.496562923939578127e+00
9.970145173940799237e-05,9.218472896671132233e+00,1.874392670505059755e+00
1.017489801644517208e-04,7.790175947621167829e+00,1.397390369322892845e+00
1.038385578533550262e-04,6.709996220730708671e+00,1.081097870628771496e+00
1.059710483548575858e-04,5.809482488925513444e+00,8.494914155552120150e-01
1.081473329520507023e-04,5.119056105299177872e+00,6.955746753535780869e-01
1.103683110265802616e-04,4.514578983746521779e+00,5.746119689938682384e-01
1.126349004303299538e-04,4.076237891349596687e+00,4.884663579670700528e-01
1.149480378647363009e-04,3.670932746684172798e+00,4.093338562179895668e-01
1.173086792678948843e-04,3.347261046496788239e+00,3.316123741074061826e-01
1.197178002096156035e-04,3.040099697452787630e+00,2.668197208203748616e-01
1.221763962945913442e-04,2.802446328571198464e+00,2.502428810650036972e-01
1.246854835738462524e-04,2.570982710398026061e+00,2.167715335793976017e-01
1.272460989646337912e-04,2.344951313296110840e+00,1.673815813546890574e-01
1.298593006789577973e-04,2.166164775702601908e+00,1.377451151598743095e-01
1.325261686608949542e-04,1.997986417090638955e+00,1.123451569579727582e-01
1.352478050328965878e-04,1.844313173506686221e+00,9.122548195158874940e-02
1.380253345512575270e-04,1.708642162701358824e+00,7.943553918473167386e-02
1.408599050709381318e-04,1.583989367525449499e+00,7.193131685188247637e-02
1.437526880199322613e-04,1.477638409035348932e+00,6.655203290258127069e-02
1.467048788833769882e-04,1.377561529309917265e+00,5.871493836730468097e-02
1.497176976976049342e-04,1.279068583932420955e+00,4.861419923074361549e-02
1.527923895543414586e-04,1.179749886918438406e+00,3.541065354770900342e-02
1.559302251152576587e-04,1.102510681404543558e+00,3.216343434910684529e-02
1.591325011370899490e-04,1.032449741325207615e+00,3.301011892503225020e-02
1.624005410075437671e-04,9.668779965073206473e-01,nan
1.657356952922031234e-04,9.024666341669452807e-01,nan
1.691393422926714286e-04,8.409241705335872563e-01,nan
1.726128886161757531e-04,7.896380485937827265e-01,nan
1.761577697568668366e-04,7.403093190523056810e-01,nan
1.797754506890587921e-04,6.886193877618079773e-01,-7.366407976578948080e-03
1.834674264726513123e-04,nan,nan
1.872352228709851275e-04,nan,nan
1.910803969813858541e-04,nan,nan
1.950045378786583123e-04,nan,nan
1.990092672717938538e-04,5.228052616669462971e-01,1.288535689089220782e-02
2.030962401741662215e-04,4.934016335688193866e-01,1.354136591560722858e-02
2.072671455874899730e-04,4.625031653655057862e-01,1.121898866973786157e-02
2.115237071998254752e-04,4.349781404934663365e-01,1.075354943243111983e-02
2.158676840979181907e-04,4.111426970066041076e-01,1.211543257956032571e-02
2.203008714941671843e-04,3.865135536211148914e-01,1.017937602943336239e-02
