# #q, WAXS_int
1.466966097004682057e+00,9.720170898437500000e+02
1.468686830640774765e+00,9.881512451171875000e+02
1.470407564276867474e+00,9.884774780273437500e+02
1.472128297912960182e+00,9.987160034179687500e+02
1.473849031549052668e+00,9.961525878906250000e+02
1.475569765185145599e+00,9.937796020507812500e+02
1.477290498821238307e+00,1.000135498046875000e+03
1.479011232457330793e+00,1.002656250000000000e+03
1.480731966093423502e+00,1.006006469726562500e+03
1.482452699729516210e+00,1.007653625488281250e+03
1.484173433365608918e+00,1.013344055175781250e+03
1.485894167001701627e+00,1.013863342285156250e+03
1.487614900637794335e+00,1.015364440917968750e+03
1.489335634273887043e+00,1.015610412597656250e+03
1.491056367909979530e+00,1.018656677246093750e+03
1.492777101546072238e+00,1.017486511230468750e+03
1.494497835182165169e+00,1.017253723144531250e+03
1.496218568818257655e+00,1.019912475585937500e+03
1.497939302454350363e+00,1.023057006835937500e+03
1.499660036090443072e+00,1.025548950195312500e+03
1.501380769726535780e+00,1.022942199707031250e+03
1.503101503362628266e+00,1.026550048828125000e+03
1.504822236998720975e+00,1.028084716796875000e+03
1.506542970634813905e+00,1.030193969726562500e+03
1.508263704270906391e+00,1.030200439453125000e+03
1.509984437906999100e+00,1.032975830078125000e+03
1.511705171543091808e+00,1.031888549804687500e+03
1.513425905179184516e+00,1.028925903320312500e+03
1.515146638815277225e+00,1.033826416015625000e+03
1.516867372451369711e+00,1.038538696289062500e+03
1.518588106087462641e+00,1.037658447265625000e+03
1.520308839723555128e+00,1.038344482421875000e+03
1.522029573359647836e+00,1.038550048828125000e+03
1.523750306995740544e+00,1.040580932617187500e+03
1.525471040631833253e+00,1.042934204101562500e+03
1.527191774267925961e+00,1.045588378906250000e+03
1.528912507904018447e+00,1.046533569335937500e+03
1.530633241540111378e+00,1.048035888671875000e+03
1.532353975176204086e+00,1.047032592773437500e+03
1.534074708812296572e+00,1.047792114257812500e+03
1.535795442448389281e+00,1.047031494140625000e+03
1.537516176084481989e+00,1.048389404296875000e+03
1.539236909720574698e+00,1.052166625976562500e+03
1.540957643356667406e+00,1.055076293945312500e+03
1.542678376992760114e+00,1.052222778320312500e+03
1.544399110628852823e+00,1.053138305664062500e+03
1.546119844264945309e+00,1.062501953125000000e+03
1.547840577901038017e+00,1.054783935546875000e+03
1.549561311537130726e+00,1.058175292968750000e+03
1.551282045173223434e+00,1.058988769531250000e+03
1.553002778809316142e+00,1.062491455078125000e+03
1.554723512445408851e+00,1.063032104492187500e+03
1.556444246081501559e+00,1.065746459960937500e+03
1.558164979717594267e+00,1.062440307617187500e+03
1.559885713353686754e+00,1.063607421875000000e+03
1.561606446989779684e+00,1.067287353515625000e+03
1.563327180625872170e+00,1.068465576171875000e+03
1.565047914261964879e+00,1.068526611328125000e+03
1.566768647898057587e+00,1.068188232421875000e+03
1.568489381534150295e+00,1.071468261718750000e+03
1.570210115170243004e+00,1.071661865234375000e+03
1.571930848806335490e+00,1.072542358398437500e+03
1.573651582442428420e+00,1.072388305664062500e+03
1.575372316078520907e+00,1.075492431640625000e+03
1.577093049714613615e+00,1.077847045898437500e+03
1.578813783350706323e+00,1.079361938476562500e+03
1.580534516986799032e+00,1.079227172851562500e+03
1.582255250622891740e+00,1.080229248046875000e+03
1.583975984258984226e+00,1.085124145507812500e+03
1.585696717895077157e+00,1.081182128906250000e+03
1.587417451531169865e+00,1.080120117187500000e+03
1.589138185167262352e+00,1.083162475585937500e+03
1.590858918803355060e+00,1.083674804687500000e+03
1.592579652439447768e+00,1.088490600585937500e+03
1.594300386075540477e+00,1.084251708984375000e+03
1.596021119711632963e+00,1.083760131835937500e+03
1.597741853347725893e+00,1.087352294921875000e+03
1.599462586983818602e+00,1.087181152343750000e+03
1.601183320619911088e+00,1.090308349609375000e+03
1.602904054256003796e+00,1.093466430664062500e+03
1.604624787892096727e+00,1.097645507812500000e+03
1.606345521528189213e+00,1.096461547851562500e+03
1.608066255164281699e+00,1.098244628906250000e+03
1.609786988800374630e+00,1.098110229492187500e+03
1.611507722436467338e+00,1.094326782226562500e+03
1.613228456072559824e+00,1.093908081054687500e+03
1.614949189708652755e+00,1.096689208984375000e+03
1.616669923344745463e+00,1.100317504882812500e+03
1.618390656980837949e+00,1.102475708007812500e+03
1.620111390616930436e+00,1.104650146484375000e+03
1.621832124253023366e+00,1.101824218750000000e+03
1.623552857889116074e+00,1.103020141601562500e+03
1.625273591525208561e+00,1.106819946289062500e+03
1.626994325161301491e+00,1.106143066406250000e+03
1.628715058797394200e+00,1.105810302734375000e+03
1.630435792433486686e+00,1.107647705078125000e+03
1.632156526069579172e+00,1.106848388671875000e+03
