# #q, USAXS_int, USAXS_sub
1.745716679546049498e-04,7.232517222288140646e-01,nan
1.781611770146432903e-04,6.760188605893560077e-01,-4.144799537575827308e-02
1.818244928695815726e-04,6.358401358609917509e-01,-3.552778756051677700e-02
1.855631331205412002e-04,nan,nan
1.893786465732653077e-04,nan,nan
1.932726138797429666e-04,nan,nan
1.972466481930258806e-04,5.111266100375735366e-01,-1.351239111956781258e-02
2.013023958355078362e-04,4.808001205580917370e-01,-1.291132964402863514e-02
2.054415369809477448e-04,4.542555644038204221e-01,-1.020426622025832897e-02
2.096657863505136949e-04,4.280239166646914173e-01,-8.299186930434632181e-03
2.139768939231405603e-04,4.040946269191493245e-01,-6.297448566145669169e-03
2.183766456604940885e-04,3.822338750422611953e-01,-3.735283853449955505e-03
2.228668642468397602e-04,3.607516011442866155e-01,-4.566972968098048646e-03
2.274494098441262038e-04,3.394730820466566046e-01,-7.205987245942069297e-03
2.321261808625950894e-04,3.205717120247952301e-01,-5.602887544186196944e-03
2.368991147472335483e-04,3.022449576622822098e-01,-5.764895499427102887e-03
2.417701887803999335e-04,2.862564421519465108e-01,-3.638640732989806281e-03
2.467414209009528457e-04,2.711165629309648661e-01,-3.412429651643844597e-03
2.518148705402205832e-04,2.558082311498847128e-01,-3.537978661530272184e-03
2.569926394751634096e-04,2.421559266769835739e-01,-2.724296089487349137e-03
2.622768726990743361e-04,2.290450119108296545e-01,-9.547377575709337094e-04
2.676697593101859092e-04,2.167289125954626472e-01,-1.161167725397233008e-03
2.731735334185483540e-04,2.051197443555035083e-01,-2.214812662601761684e-04
2.787904750715518190e-04,1.942117555320077016e-01,-5.594433583966107459e-04
2.845229111984837428e-04,1.834379516511609187e-01,-3.221208632422922769e-04
2.903732165745028177e-04,1.737645501347750976e-01,-1.734562199538491889e-04
2.963438148044380779e-04,1.648324255415999640e-01,4.385528987543296786e-04
3.024371793268155681e-04,1.568285346898584398e-01,1.922203470022809668e-03
3.086558344385275710e-04,1.485820256314634435e-01,1.232831247778592987e-03
3.150023563405746595e-04,1.409856365981635162e-01,1.651297601904411216e-03
3.214793742053060135e-04,1.341132350015052932e-01,1.907964184464761015e-03
3.280895712656068633e-04,1.268383343534045804e-01,1.779485507832412328e-03
3.348356859264820786e-04,1.205394458303010730e-01,1.332490456811649682e-03
3.417205128994920305e-04,1.141724746389593953e-01,7.928120315293385456e-04
3.487469043605202117e-04,1.087562191542091744e-01,6.980413931836765284e-04
3.559177711313408848e-04,1.035497442394184148e-01,8.670959146690748742e-04
3.632360838854858140e-04,9.823728569351242168e-02,2.737739350204965172e-04
3.707048743789056718e-04,9.343236463315253426e-02,5.349495682139548958e-04
3.783272367059323867e-04,8.963274556064208809e-02,1.348089956964990122e-03
3.861063285810719032e-04,8.536664942178112669e-02,9.025527329837856882e-04
3.940453726471473375e-04,8.126177544482209025e-02,1.129271619442928642e-03
4.021476578103442244e-04,7.737536866431685145e-02,1.234503263782701921e-03
4.104165406027039144e-04,7.409194227832563429e-02,1.579372147184343600e-03
4.188554465726349236e-04,7.079252920803316695e-02,1.411231880369220870e-03
4.274678717040132853e-04,6.774635685164979992e-02,1.631935167085013516e-03
