# #q, WAXS_int
1.680337067880174562e+00,1.185673950195312500e+03
1.682057801516267048e+00,1.189350463867187500e+03
1.683778535152359757e+00,1.191335571289062500e+03
1.685499268788452687e+00,1.192398559570312500e+03
1.687220002424545173e+00,1.190198608398437500e+03
1.688940736060637882e+00,1.192250366210937500e+03
1.690661469696730812e+00,1.191540405273437500e+03
1.692382203332823298e+00,1.191165039062500000e+03
1.694102936968915785e+00,1.192613891601562500e+03
1.695823670605008715e+00,1.189762451171875000e+03
1.697544404241101423e+00,1.189992431640625000e+03
1.699265137877193910e+00,1.195579345703125000e+03
1.700985871513286618e+00,1.198060058593750000e+03
1.702706605149379548e+00,1.201097290039062500e+03
1.704427338785472035e+00,1.197181030273437500e+03
1.706148072421564521e+00,1.195285278320312500e+03
1.707868806057657451e+00,1.194763305664062500e+03
1.709589539693750160e+00,1.201173339843750000e+03
1.711310273329842646e+00,1.200592407226562500e+03
1.713031006965935354e+00,1.198108886718750000e+03
1.714751740602028285e+00,1.197752075195312500e+03
1.716472474238120771e+00,1.197745239257812500e+03
1.718193207874213257e+00,1.194680175781250000e+03
1.719913941510306188e+00,1.196175903320312500e+03
1.721634675146398896e+00,1.198166625976562500e+03
1.723355408782491383e+00,1.198006347656250000e+03
1.725076142418584091e+00,1.201594482421875000e+03
1.726796876054677021e+00,1.202302612304687500e+03
1.728517609690769508e+00,1.198684326171875000e+03
1.730238343326861994e+00,1.200914306640625000e+03
1.731959076962954924e+00,1.199472656250000000e+03
1.733679810599047633e+00,1.200311889648437500e+03
1.735400544235140119e+00,1.202017333984375000e+03
1.737121277871233049e+00,1.200755859375000000e+03
1.738842011507325758e+00,1.201475952148437500e+03
1.740562745143418244e+00,1.202634765625000000e+03
1.742283478779511174e+00,1.199840454101562500e+03
1.744004212415603661e+00,1.203220214843750000e+03
1.745724946051696369e+00,1.203539550781250000e+03
1.747445679687788855e+00,1.201561035156250000e+03
1.749166413323881786e+00,1.203249633789062500e+03
1.750887146959974494e+00,1.205873168945312500e+03
1.752607880596066980e+00,1.204537597656250000e+03
1.754328614232159911e+00,1.198080200195312500e+03
1.756049347868252397e+00,1.198689697265625000e+03
1.757770081504345105e+00,1.199483520507812500e+03
1.759490815140437592e+00,1.200235473632812500e+03
1.761211548776530522e+00,1.202504150390625000e+03
1.762932282412623231e+00,1.201434204101562500e+03
1.764653016048715717e+00,1.197783935546875000e+03
1.766373749684808647e+00,1.198771484375000000e+03
1.768094483320901134e+00,1.201679809570312500e+03
1.769815216956993842e+00,1.202888916015625000e+03
1.771535950593086328e+00,1.201875122070312500e+03
1.773256684229179259e+00,1.199455322265625000e+03
1.774977417865271967e+00,1.196010742187500000e+03
1.776698151501364897e+00,1.198764282226562500e+03
1.778418885137457384e+00,1.199147827148437500e+03
1.780139618773549870e+00,1.196920166015625000e+03
1.781860352409642578e+00,1.196664306640625000e+03
1.783581086045735509e+00,1.195789916992187500e+03
1.785301819681827995e+00,1.198455444335937500e+03
1.787022553317920703e+00,1.200497436523437500e+03
1.788743286954013634e+00,1.210817138671875000e+03
1.790464020590106120e+00,1.204217163085937500e+03
1.792184754226198606e+00,1.199317504882812500e+03
1.793905487862291315e+00,1.194290649414062500e+03
1.795626221498384245e+00,1.196545776367187500e+03
1.797346955134476731e+00,1.195345092773437500e+03
1.799067688770569440e+00,1.193015502929687500e+03
1.800788422406662370e+00,1.195857543945312500e+03
1.802509156042754856e+00,1.194967895507812500e+03
1.804229889678847343e+00,1.192975708007812500e+03
1.805950623314940051e+00,1.196151611328125000e+03
1.807671356951032982e+00,1.192413208007812500e+03
1.809392090587125468e+00,1.189404785156250000e+03
1.811112824223218176e+00,1.194519775390625000e+03
1.812833557859311107e+00,1.189712768554687500e+03
1.814554291495403593e+00,1.191094482421875000e+03
1.816275025131496079e+00,1.190421508789062500e+03
1.817995758767588788e+00,1.187264160156250000e+03
1.819716492403681718e+00,1.191141967773437500e+03
1.821437226039774204e+00,1.188736450195312500e+03
1.823157959675867135e+00,1.189171630859375000e+03
1.824878693311959843e+00,1.186750000000000000e+03
1.826599426948052329e+00,1.187760986328125000e+03
1.828320160584144816e+00,1.186393798828125000e+03
1.830040894220237746e+00,1.183596557617187500e+03
1.831761627856330454e+00,1.186362060546875000e+03
1.833482361492422941e+00,1.183998779296875000e+03
1.835203095128515871e+00,1.183373046875000000e+03
1.836923828764608579e+00,1.182227172851562500e+03
1.838644562400701066e+00,1.181848999023437500e+03
1.840365296036793552e+00,1.183213134765625000e+03
1.842086029672886482e+00,1.181918090820312500e+03
1.843806763308979191e+00,1.175081909179687500e+03
1.845527496945071677e+00,1.174833251953125000e+03
1.847248230581164607e+00,1.178547485351562500e+03
1.848968964217257316e+00,1.178991210937500000e+03
1.850689697853349802e+00,1.175134399414062500e+03
1.852410431489442288e+00,1.172889282226562500e+03
1.854131165125535219e+00,1.175046020507812500e+03
1.855851898761627927e+00,1.171882568359375000e+03
1.857572632397720414e+00,1.167889282226562500e+03
1.859293366033813344e+00,1.169245727539062500e+03
1.861014099669906052e+00,1.171710937500000000e+03
1.862734833305998539e+00,1.170547363281250000e+03
1.864455566942091469e+00,1.172614257812500000e+03
1.866176300578183955e+00,1.168843627929687500e+03
1.867897034214276664e+00,1.164872314453125000e+03
1.869617767850369594e+00,1.163152099609375000e+03
1.871338501486462080e+00,1.161330688476562500e+03
1.873059235122554789e+00,1.162973876953125000e+03
1.874779968758647275e+00,1.160497070312500000e+03
1.876500702394740205e+00,1.163523071289062500e+03
1.878221436030832692e+00,1.158824218750000000e+03
1.879942169666925400e+00,1.158360473632812500e+03
1.881662903303018330e+00,1.156776611328125000e+03
1.883383636939110817e+00,1.153168212890625000e+03
1.885104370575203525e+00,1.152785644531250000e+03
1.886825104211296011e+00,1.155639892578125000e+03
1.888545837847388942e+00,1.153373413085937500e+03
1.890266571483481428e+00,1.149618530273437500e+03
1.891987305119574136e+00,1.147403320312500000e+03
1.893708038755667067e+00,1.146927368164062500e+03
1.895428772391759553e+00,1.147088989257812500e+03
1.897149506027852262e+00,1.144036376953125000e+03
1.898870239663944748e+00,1.143685424804687500e+03
1.900590973300037678e+00,1.144324951171875000e+03
1.902311706936130165e+00,1.143762084960937500e+03
1.904032440572223095e+00,1.140126953125000000e+03
1.905753174208315803e+00,1.139744995117187500e+03
1.907473907844408290e+00,1.139980712890625000e+03
1.909194641480500998e+00,1.135989257812500000e+03
1.910915375116593484e+00,1.133463256835937500e+03
1.912636108752686415e+00,1.133820800781250000e+03
1.914356842388778901e+00,1.129465820312500000e+03
1.916077576024871831e+00,1.129849243164062500e+03
1.917798309660964540e+00,1.129361450195312500e+03
1.919519043297057026e+00,1.127039306640625000e+03
1.921239776933149734e+00,1.126554931640625000e+03
1.922960510569242665e+00,1.123015502929687500e+03
1.924681244205335151e+00,1.123384155273437500e+03
1.926401977841427637e+00,1.120640014648437500e+03
1.928122711477520568e+00,1.119934814453125000e+03
1.929843445113613276e+00,1.120197875976562500e+03
1.931564178749705762e+00,1.117779785156250000e+03
1.933284912385798471e+00,1.115809204101562500e+03
1.935005646021891401e+00,1.110834838867187500e+03
1.936726379657983887e+00,1.111231567382812500e+03
1.938447113294076374e+00,1.112779418945312500e+03
1.940167846930169304e+00,1.108575439453125000e+03
1.941888580566262013e+00,1.108553222656250000e+03
1.943609314202354499e+00,1.106957519531250000e+03
1.945330047838447207e+00,1.106031982421875000e+03
1.947050781474540138e+00,1.101107421875000000e+03
1.948771515110632624e+00,1.104345947265625000e+03
1.950492248746725554e+00,1.100172485351562500e+03
1.952212982382818041e+00,1.094840209960937500e+03
1.953933716018910749e+00,1.094208984375000000e+03
1.955654449655003235e+00,1.093097045898437500e+03
1.957375183291095944e+00,1.090579223632812500e+03
1.959095916927188874e+00,1.087546386718750000e+03
1.960816650563281360e+00,1.085744873046875000e+03
1.962537384199374291e+00,1.087733032226562500e+03
1.964258117835466777e+00,1.086565795898437500e+03
1.965978851471559485e+00,1.084172363281250000e+03
1.967699585107651972e+00,1.081575195312500000e+03
1.969420318743744902e+00,1.079288085937500000e+03
1.971141052379837610e+00,1.079337890625000000e+03
1.972861786015930097e+00,1.075316650390625000e+03
1.974582519652023027e+00,1.078622192382812500e+03
1.976303253288115513e+00,1.077193237304687500e+03
1.978023986924208222e+00,1.072874145507812500e+03
