# #q, WAXS_int
1.466966097004682057e+00,1.059912719726562500e+03
1.468686830640774765e+00,1.062980957031250000e+03
1.470407564276867474e+00,1.066140258789062500e+03
1.472128297912960182e+00,1.073215576171875000e+03
1.473849031549052668e+00,1.068530395507812500e+03
1.475569765185145599e+00,1.070789916992187500e+03
1.477290498821238307e+00,1.075411743164062500e+03
1.479011232457330793e+00,1.073080444335937500e+03
1.480731966093423502e+00,1.080503662109375000e+03
1.482452699729516210e+00,1.083583862304687500e+03
1.484173433365608918e+00,1.086911254882812500e+03
1.485894167001701627e+00,1.091795776367187500e+03
1.487614900637794335e+00,1.095070556640625000e+03
1.489335634273887043e+00,1.092302856445312500e+03
1.491056367909979530e+00,1.092707763671875000e+03
1.492777101546072238e+00,1.092668090820312500e+03
1.494497835182165169e+00,1.095476562500000000e+03
1.496218568818257655e+00,1.099198120117187500e+03
1.497939302454350363e+00,1.102979370117187500e+03
1.499660036090443072e+00,1.106063720703125000e+03
1.501380769726535780e+00,1.105357421875000000e+03
1.503101503362628266e+00,1.101300048828125000e+03
1.504822236998720975e+00,1.100866943359375000e+03
1.506542970634813905e+00,1.107290283203125000e+03
1.508263704270906391e+00,1.107721557617187500e+03
1.509984437906999100e+00,1.113510498046875000e+03
1.511705171543091808e+00,1.109740356445312500e+03
1.513425905179184516e+00,1.105973754882812500e+03
1.515146638815277225e+00,1.113233886718750000e+03
1.516867372451369711e+00,1.119587646484375000e+03
1.518588106087462641e+00,1.117514038085937500e+03
1.520308839723555128e+00,1.117125488281250000e+03
1.522029573359647836e+00,1.119436401367187500e+03
1.523750306995740544e+00,1.120007690429687500e+03
1.525471040631833253e+00,1.119641967773437500e+03
1.527191774267925961e+00,1.122399658203125000e+03
1.528912507904018447e+00,1.122701904296875000e+03
1.530633241540111378e+00,1.125812011718750000e+03
1.532353975176204086e+00,1.125463867187500000e+03
1.534074708812296572e+00,1.125723876953125000e+03
1.535795442448389281e+00,1.123029174804687500e+03
1.537516176084481989e+00,1.130830444335937500e+03
1.539236909720574698e+00,1.131428833007812500e+03
1.540957643356667406e+00,1.132400268554687500e+03
1.542678376992760114e+00,1.134467651367187500e+03
1.544399110628852823e+00,1.136045410156250000e+03
1.546119844264945309e+00,1.144379150390625000e+03
1.547840577901038017e+00,1.139551025390625000e+03
1.549561311537130726e+00,1.136219604492187500e+03
1.551282045173223434e+00,1.135618286132812500e+03
1.553002778809316142e+00,1.137780517578125000e+03
1.554723512445408851e+00,1.141776733398437500e+03
1.556444246081501559e+00,1.145088256835937500e+03
1.558164979717594267e+00,1.142890747070312500e+03
1.559885713353686754e+00,1.145122436523437500e+03
1.561606446989779684e+00,1.145750976562500000e+03
1.563327180625872170e+00,1.151152221679687500e+03
1.565047914261964879e+00,1.146595092773437500e+03
1.566768647898057587e+00,1.146980346679687500e+03
1.568489381534150295e+00,1.148941650390625000e+03
1.570210115170243004e+00,1.149002929687500000e+03
1.571930848806335490e+00,1.154083129882812500e+03
1.573651582442428420e+00,1.155221679687500000e+03
1.575372316078520907e+00,1.156044555664062500e+03
1.577093049714613615e+00,1.155501220703125000e+03
1.578813783350706323e+00,1.158575317382812500e+03
1.580534516986799032e+00,1.159064941406250000e+03
1.582255250622891740e+00,1.158951782226562500e+03
1.583975984258984226e+00,1.163720703125000000e+03
1.585696717895077157e+00,1.160116333007812500e+03
1.587417451531169865e+00,1.160506958007812500e+03
1.589138185167262352e+00,1.161461547851562500e+03
1.590858918803355060e+00,1.160928588867187500e+03
1.592579652439447768e+00,1.162881469726562500e+03
1.594300386075540477e+00,1.162970703125000000e+03
1.596021119711632963e+00,1.164183959960937500e+03
1.597741853347725893e+00,1.167059326171875000e+03
1.599462586983818602e+00,1.169528564453125000e+03
1.601183320619911088e+00,1.170105468750000000e+03
1.602904054256003796e+00,1.172605957031250000e+03
1.604624787892096727e+00,1.177117309570312500e+03
1.606345521528189213e+00,1.175537353515625000e+03
1.608066255164281699e+00,1.175240478515625000e+03
1.609786988800374630e+00,1.176060546875000000e+03
1.611507722436467338e+00,1.175214965820312500e+03
1.613228456072559824e+00,1.172738281250000000e+03
1.614949189708652755e+00,1.173399291992187500e+03
1.616669923344745463e+00,1.177660278320312500e+03
1.618390656980837949e+00,1.179673950195312500e+03
1.620111390616930436e+00,1.178185424804687500e+03
1.621832124253023366e+00,1.178501220703125000e+03
1.623552857889116074e+00,1.181597412109375000e+03
1.625273591525208561e+00,1.186026611328125000e+03
1.626994325161301491e+00,1.180313720703125000e+03
1.628715058797394200e+00,1.176666381835937500e+03
1.630435792433486686e+00,1.179616699218750000e+03
1.632156526069579172e+00,1.183670043945312500e+03
1.633877259705672103e+00,1.186390258789062500e+03
1.635597993341764811e+00,1.187405761718750000e+03
1.637318726977857297e+00,1.187789550781250000e+03
1.639039460613950228e+00,1.185727172851562500e+03
1.640760194250042936e+00,1.189653930664062500e+03
1.642480927886135422e+00,1.191443237304687500e+03
1.644201661522228353e+00,1.189819580078125000e+03
1.645922395158320839e+00,1.191038818359375000e+03
1.647643128794413547e+00,1.196848510742187500e+03
1.649363862430506478e+00,1.196389648437500000e+03
1.651084596066598964e+00,1.194531372070312500e+03
1.652805329702691672e+00,1.191769042968750000e+03
1.654526063338784159e+00,1.193539428710937500e+03
1.656246796974877089e+00,1.193299194335937500e+03
1.657967530610969575e+00,1.192963500976562500e+03
1.659688264247062284e+00,1.193790161132812500e+03
1.661408997883155214e+00,1.198643554687500000e+03
1.663129731519247700e+00,1.196091186523437500e+03
1.664850465155340409e+00,1.198102783203125000e+03
