,Unnamed: 0,uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,dilution_volume_fraction,silica_mass_conc,silica_mass_fraction,well
27,27.0,22fc6d75-43ef-41aa-993b-b76a84f4c5af,150.0,32.0,156.0,1362.0,0.1213937725811352,23.7560785753861,0.0288562438682379,C8
28,28.0,86a7ac96-49f1-4da4-b518-37e4ab31a099,184.0,77.0,19.0,1421.0,0.0991248702023477,29.093001525380032,0.0358209767515902,D1
30,30.0,89639692-ddbf-413e-a0c4-bf75456e2877,152.0,53.0,102.0,1393.0,0.1197749343896882,24.07715783518959,0.0294272264449363,D2
35,35.0,b702c675-432e-4034-b542-ef01ad2fd4ff,63.0,83.0,120.0,1435.0,0.2884340348918623,9.998265291685112,0.0122718793761034,D3
0,,3b660550-7e2e-4815-ba89-ac39039b2f38,117.0,112.0,130.0,1342.0,0.1561101578654828,18.473109241776253,0.022461817259204514,D4
1,,fe183495-7f7b-4949-bc1b-6c7d1ea634b7,84.0,77.0,135.0,1404.0,0.21667609096520468,13.309451851164818,0.016270134180786523,D5
2,,f180c1df-360c-45fe-9547-101530b6135a,109.0,10.0,94.0,1487.0,0.16655027198245448,17.315132336162158,0.021356338975553543,D6
3,,ad3d2a7d-b678-43a0-b803-1cc079e32935,221.0,67.0,155.0,1257.0,0.08229379622898854,35.04322478908985,0.04214961470022486,D7
4,,70246cb4-9be2-45b9-8704-bb3f4ea585c5,89.0,158.0,203.0,1250.0,0.20374370542021283,14.154253227368184,0.0170092037316962,D8
5,,01cddefc-e6a6-41aa-9052-06286b12b8fe,40.0,30.0,79.0,1550.0,0.45171002708613667,6.3842727127464896,0.007936909661257477,E1
6,,83d8158b-ea97-4925-af7c-8fa89acc9319,57.0,82.0,186.0,1375.0,0.32173307191784273,8.963455273060685,0.010900053796781963,E3
7,,b8953350-d5ad-4c99-b929-ebfe8febd0df,138.0,174.0,241.0,1148.0,0.13219253329912534,21.815453021650214,0.025910531416006098,E4
8,,f9db1144-6916-4420-ae44-2bf5f1313a4d,49.0,13.0,79.0,1559.0,0.3720616808898316,7.750972884665089,0.00964098372007319,E5
9,,8f7962c4-620f-42e2-812b-2b161525c034,204.0,125.0,23.0,1348.0,0.08932174966239206,32.285977501560396,0.03949294919815588,E6
10,,4b2d55e4-a4ec-419a-aade-a8645321f66a,177.0,97.0,113.0,1312.0,0.10283954285940519,28.04213165302162,0.03400661996264782,E8
11,,cb613f37-04cf-4232-aa8f-9a57445e5eee,68.0,101.0,155.0,1375.0,0.2688209055331972,10.72773709425612,0.013070272710895652,F1
12,,852b1fcf-ea63-4436-bd20-9ebf44baf999,21.0,57.0,62.0,1561.0,0.8762296512921101,3.291191978892084,0.0041019214926168905,F2
13,,f2e85141-9985-49ff-a6bc-17e2ecbcdc8b,253.0,175.0,231.0,1040.0,0.07187154611803873,40.124919467625,0.0471701834527074,F3
14,,328c652f-9166-4c49-ad89-6445d14b89f3,134.0,131.0,239.0,1196.0,0.13579447224092242,21.23679964589117,0.02532449378923836,F4
