uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,ctab_volume,f127_voume
1,371,733,1420,2590,2190,2700
2,311,733,1441,2629,2190,2700
3,251,733,1462,2668,2190,2700
4,191,733,1483,2707,2190,2700
5,131,733,1504,2746,2190,2700
