,uuid,amplitude_distance,phase_distance,sum_ap_distance,raw_rmse_distance,sphere_diameter_nm,sphere_pdi,processes_status
0,4bec4e18-80bb-44d9-8508-cc464f14b287,0.7223245154313883,0.5676822781233972,1.2900067935547854,0.23422350880274626,73.26238077017138,0.9999999999999956,success
1,a180d359-a229-4b3e-a615-2991fd549f42,1.0351569268708634,0.5155803811383333,1.5507373080091966,0.22691776135770875,100.92297684631657,0.7229702453654127,success
2,3584700a-8b01-4e59-a53a-1300fd3fac0a,0.9180219056999129,0.46781675039974246,1.3858386560996554,0.24039942248721516,96.63182859873368,0.7043638135061605,success
3,0e6edb88-77c3-4984-a38d-198341bba9e1,0.9328133331440218,0.5720138724619775,1.5048272056059995,0.23292556663606742,93.46348897106233,0.7179995156180334,success
4,68831f53-4a51-4f12-b385-10c50c8fab46,1.091741202174452,0.541297482132687,1.633038684307139,0.22713777650676922,94.82855683181945,0.6952533253535425,success
5,fed3ab35-04e9-4916-8527-8627191a3bdc,0.4741131494896283,0.17753993414005936,0.6516530836296877,0.17700652359792252,107.45964297412084,0.13238281775803734,success
6,32ec16b1-c5b5-4d8b-b396-cd1ad4b740d9,1.075601125019585,0.40111621328086416,1.476717338300449,0.2918500396864528,55.53847459085036,0.49037555511882003,success
7,a4d8a8f6-2654-490f-b14a-02d3fb1f94b2,0.941524482842699,0.6538516876179494,1.5953761704606484,0.23835443769391917,95.59481487010206,0.720053195872806,success
8,770a433d-0480-4cee-bf12-ce066c24db55,1.07961002527149,0.4074514227631183,1.4870614480346083,0.3365613457077012,47.47416096827294,0.5911719746635262,success
9,41414be7-3e27-4b4d-b70e-e31d54a733d3,1.3708541224913808,0.43986391152348536,1.810718034014866,1.3436553398964803,13.756148030179697,0.4458379495690773,success
10,6b50a94f-b7f2-402e-a210-e89f507b8861,1.4044509919080639,0.5635466279354469,1.9679976198435107,0.6768463729910772,77.33928268775806,0.6309382416635361,success
11,fa1dfc55-e5e0-4514-a66a-e29a5351518a,1.8328008454887457,0.6336539635860039,2.4664548090747496,0.6270537330644471,77.40994621753525,0.6343697517341421,success
12,ef17f542-90a3-44a8-a6b8-acb920953fab,0.8068979210506203,0.41879408075972024,1.2256920018103405,0.2735956772353638,85.80864395508446,0.6581028803203814,success
13,23850c30-c572-41ad-abf0-7e1bd4fa7397,1.1764890310578147,0.4450892571613868,1.6215782882192014,0.9374900437312889,21.50092548717238,0.5596683638320946,success
14,4ab46dcc-3395-4e7b-bb87-52e805e12abb,0.9794128218435947,0.5400223793633144,1.519435201206909,0.2401799969290718,66.70955587438611,0.9999999999972168,success
15,657e707f-abc9-4f86-ae1e-9e59efb6e1f9,,,,,,,failed
16,96ef6012-d812-4975-8b77-8ed7e78669fb,1.0032744598458423,0.5202165008189303,1.5234909606647726,0.23960451748266376,67.30737531011968,0.5676664442118949,success
17,e0368e49-ecc3-4ebf-9a19-4e942c829517,1.0282729545269547,0.5366588222952428,1.5649317768221973,0.22370062584116215,102.91954498579624,0.7492563216860753,success
18,d03dab18-5712-44f7-9334-14047212632e,,,,,,,failed
19,4d5fd07b-987b-49df-b4ba-54d2a337d945,,,,,,,failed
20,6abcfcc8-cf8d-4a5e-a92f-f3afd8023fbd,1.1605008105528893,0.5751905659380556,1.735691376490945,0.23762852644286928,91.71148937858456,0.7046168438252012,success
21,8559907a-1b27-4673-ae0e-602b83d86deb,1.3036533573267748,0.47339264526464037,1.7770460025914152,0.9777635977915546,25.853177111766307,0.2480709820614767,success
22,b683d769-9cd7-454a-b546-4e86afe5e3f4,0.9828933770871565,0.4677854309969518,1.4506788080841084,0.22959544887698757,96.17688105171476,0.7260936832162548,success
23,a6974af8-5b2d-431a-94df-d35c0be3ee54,1.094172911599817,0.5979680841446386,1.6921409957444558,0.2365806733889796,90.45085735458761,0.6966093137031056,success
24,81f8f6c2-0e42-4680-bc11-c0be02bfd641,1.0448240010040766,0.6158754737990079,1.6606994748030846,0.23205331502669757,88.14508845059541,0.7058236092855514,success
25,f5e32498-0689-4e74-9a45-9c17edf776b9,1.0367347049715143,0.4534161829884121,1.4901508879599263,0.22541434421805132,78.44809465051871,0.9999999999992168,success
26,1c809d50-4605-4865-aa13-13649203ede8,1.236758117706447,0.595571398855652,1.832329516562099,0.23125064998542721,87.70654542333608,0.691417535550259,success
27,fe8e4a28-cb6b-4396-adc3-a51f49838d54,1.3639661631755597,0.45198913913652816,1.815955302312088,1.2897682117590799,15.084977107415034,0.46516824669957024,success
28,89b8593e-8436-4dfb-8430-1367d273cbc2,0.8791593462867782,0.3572078623643369,1.236367208651115,0.15837409173765676,118.81473834619983,0.2595049283713595,success
29,403cbac3-a2e0-44f0-aca4-9313b8775a4e,0.7856557749486383,0.5410933476044919,1.3267491225531303,0.22847516448552846,93.03930130817612,0.6909961258501751,success
30,47d95862-b511-4a42-b8b1-961b605f26a3,0.8843202160974255,0.37716646480953375,1.2614866809069594,0.22765990407633935,59.08311252911553,0.5362575144008612,success
31,649ddf37-37fe-4a30-896b-010286133a28,,,,,,,failed
32,a9d67fc5-2e59-4f51-a904-9cac957c9e73,0.9669013452436223,0.37262830315770107,1.3395296484013233,0.2432726737881425,77.68417925717645,0.3751200170027014,success
33,5d67ff81-9548-4a2f-9496-5d3c3c25b3eb,1.3781417562037457,0.5650756087258856,1.9432173649296312,0.5725588430986256,68.08122949962001,0.5816527690582165,success
34,289532b3-a4c8-4db7-93ff-9edc14d5d2c8,1.0306188603230095,0.4575875545264531,1.4882064148494627,0.2304248516465071,96.85225431216182,0.7255104343484149,success
