Q	I	ISigma
0.00252998758695	32473.33258650982	1441.400121190856
0.002620021116805	31848.74532449335	4478.965097036724
0.0026651890209330002	31998.99079543188	9107.494473580313
0.0027104470529820002	31360.58726108871	11580.73080334782
0.0027557948547900003	31667.54118544926	9066.726253944047
0.0028012320764880002	30786.44892373186	4571.879534929616
0.002846758376206	31191.24048541067	2065.878627345392
0.002892373419781	32138.24224988735	1547.311262865398
0.0029380768804770003	32151.45478750245	1520.13387101863
0.0029838684387340003	31092.80897113635	1485.514234532899
0.0030297477819059998	31233.05177195244	1448.587497590665
0.00307571460404	30620.00666141775	1399.492491200584
0.003121768605639	33035.28201228231	1325.204045136806
0.0031910232368600002	30866.50753009964	1257.748476515066
0.003260450784723	30667.46167559284	1240.401141099545
0.003306850631115	29858.53790908877	1250.417968340643
0.003353336249212	29993.4800750547	1228.83353266848
0.0033999073741	30890.8142618448	1167.815743610035
0.003469934428085	30409.06936495068	1123.012933702931
0.003540131216614	30739.46557477921	1129.041026305644
0.00358704182013	30270.05070280893	1138.188448968424
0.003634036680029	30469.96284115399	1104.725152820983
0.003704696894164	30534.48115188565	1065.68263068756
0.003775524456885	30809.15413897089	1053.67763012123
0.003822854022205	30883.3033589162	1038.849571387845
0.003894014496122	29949.01414190001	1013.912065623326
0.003965340559934	29542.12202020027	999.195015191317
0.004013001312429	29880.40238708871	977.952742268572
0.004084656891087	29731.01329744743	938.7793823032353
0.004156476419175	29172.53414425949	911.3649731171542
0.004228500150677	29316.67466839941	916.3477024907314
0.0043006866716289996	29496.47127672736	933.0775563956483
0.004348919233936	29480.02061182569	926.6152592554806
0.004421429852078	29234.35101713909	897.3693706237672
0.004494101798443	29315.39890035941	873.1913261250713
0.004566974749974	29243.75170458905	861.1351011209665
0.004640007992829	29292.64468996604	849.9304857281668
0.0047132409743890005	29283.25901754927	831.2841855467703
0.004786633257078001	28657.45129842636	801.2352413695088
0.004860224068405	28660.06141797176	772.234059855024
0.0049586089468940005	29031.79007101948	767.2732868432875
0.005032594883027	28269.56157963699	782.3420104055074
0.005106777446311999	28960.15442292556	788.602753466167
0.005181116875625	28467.54002719287	770.8636081384873
0.005255651855023	28617.19102883168	744.1122095491952
0.005355291751032	27925.31844289832	731.8294500708781
0.005430216106348	28372.6113047521	723.6483048257398
0.005505334313627	28283.12169052161	697.1007746260982
0.00560574963613	27827.07290886653	676.5288337348477
0.005706473327741	27948.30452849986	689.2669041120316
